"id","Coloring strategy","Coloring strategy percent","Framed","Framed percent","Layout","Layout percent","Palette","Palette percent","Scene ","Scene  percent","Shading","Shading percent","rarity","rank","id again"
0,"Group",45.33,"Yep",95.83,"Balance",54.17,"Red Spider",5,"Flat",93.83,"Bright",5.5,"0.060718418744704308331883",305,0
1,"Main",24.33,"Yep",95.83,"Order",29.83,"Atlas",5.67,"Flat",93.83,"Evening",11.17,"0.041330893949402439102592",230,1
2,"Group",45.33,"Yep",95.83,"Balance",54.17,"Punk",2.33,"Flat",93.83,"Noon",54.33,"0.279501012313872698733519",515,2
3,"Group",45.33,"Yep",95.83,"Order",29.83,"Paddle",2,"Flat",93.83,"Evening",11.17,"0.027162225204821307394942",178,3
4,"Group",45.33,"Yep",95.83,"Balance",54.17,"Yellow Spider",4.5,"Flat",93.83,"Evening",11.17,"0.110982229752820404922176",376,4
5,"Group",45.33,"Yep",95.83,"Order",29.83,"Mysore",4.83,"Flat",93.83,"Morning",9.33,"0.054791217565243806320030",282,5
6,"Group",45.33,"Nope!",4.17,"Balance",54.17,"Main Course",2.83,"Flat",93.83,"Noon",54.33,"0.014772311825515603567194",114,6
7,"Main",24.33,"Yep",95.83,"Balance",54.17,"Green Spider",3.67,"Flat",93.83,"Evening",11.17,"0.048580657279123772018803",265,7
8,"Group",45.33,"Yep",95.83,"Balance",54.17,"Hotshot",5.33,"Flat",93.83,"Noon",54.33,"0.639373560357485604122019",593,8
9,"Random",19.17,"Yep",95.83,"Balance",54.17,"Tropico",2.33,"Flat",93.83,"Bright Morning",9.67,"0.021038101595953501848912",153,9
10,"Group",45.33,"Yep",95.83,"Balance",54.17,"Jolly",1,"Flat",93.83,"Noon",54.33,"0.119957516014537635129500",386,10
11,"Group",45.33,"Yep",95.83,"Balance",54.17,"Hotshot",5.33,"Flat",93.83,"Noon",54.33,"0.639373560357485604122019",592,11
12,"Single",11.17,"Yep",95.83,"Order",29.83,"Cherfi",1.5,"Flat",93.83,"Noon",54.33,"0.024416341750131399096491",166,12
13,"Group",45.33,"Nope!",4.17,"Balance",54.17,"Mantis",2.33,"Flat",93.83,"Bright Evening",10,"0.002238609007865904887424",43,13
14,"Main",24.33,"Yep",95.83,"Balance",54.17,"Hotspot",6,"Flat",93.83,"Evening",11.17,"0.079423417895025244517271",339,14
15,"Random",19.17,"Yep",95.83,"Balance",54.17,"Blue Spider",3.67,"Flat",93.83,"Bright Evening",10,"0.034268115119612155283768",213,15
16,"Group",45.33,"Yep",95.83,"Balance",54.17,"Nightlife",2.33,"Flat",93.83,"Noon",54.33,"0.279501012313872698733519",508,16
17,"Single",11.17,"Yep",95.83,"Balance",54.17,"Slapdash",2.33,"Flat",93.83,"Morning",9.33,"0.011827495131375287754083",100,17
18,"Main",24.33,"Yep",95.83,"Balance",54.17,"Bangalore",1.33,"Flat",93.83,"Evening",11.17,"0.017605524300063929432625",132,18
19,"Group",45.33,"Yep",95.83,"Balance",54.17,"Atlas",5.67,"Corner",4.5,"Bright Morning",9.67,"0.005805880458005030844704",65,19
20,"Group",45.33,"Yep",95.83,"Balance",54.17,"Red Spider",5,"Corner",4.5,"Bright Morning",9.67,"0.005119824037041472569731",61,20
21,"Group",45.33,"Yep",95.83,"Balance",54.17,"Main Course",2.83,"Flat",93.83,"Noon",54.33,"0.339479770321141516298269",545,21
22,"Group",45.33,"Yep",95.83,"Order",29.83,"Hotshot",5.33,"Flat",93.83,"Noon",54.33,"0.352086271099571634923819",549,22
23,"Group",45.33,"Yep",95.83,"Balance",54.17,"Hurdles",0.83,"Flat",93.83,"Noon",54.33,"0.099564738292066232161481",363,23
24,"Single",11.17,"Yep",95.83,"Balance",54.17,"Warm Duo",2.17,"Flat",93.83,"Noon",54.33,"0.064143795167102946042093",313,24
25,"Group",45.33,"Yep",95.83,"Balance",54.17,"Punk",2.33,"Flat",93.83,"Bright",5.5,"0.028294783135032204601789",182,25
26,"Group",45.33,"Yep",95.83,"Chaos",16,"Giftcard",3.83,"Flat",93.83,"Morning",9.33,"0.023303938414286483327142",160,26
27,"Group",45.33,"Nope!",4.17,"Balance",54.17,"Golden Duo",1,"Flat",93.83,"Noon",54.33,"0.005219898171560283933745",62,27
28,"Random",19.17,"Nope!",4.17,"Chaos",16,"Sprague",2.5,"Flat",93.83,"Noon",54.33,"0.001630044949614840301896",33,28
29,"Group",45.33,"Yep",95.83,"Balance",54.17,"Green Spider",3.67,"Flat",93.83,"Noon",54.33,"0.440244083773353056532329",567,29
30,"Group",45.33,"Yep",95.83,"Balance",54.17,"Romeo",1.5,"Flat",93.83,"Noon",54.33,"0.179936274021806452694250",459,30
31,"Group",45.33,"Yep",95.83,"Chaos",16,"Hotspot",6,"Flat",93.83,"Bright",5.5,"0.021521019750753597049586",155,31
32,"Main",24.33,"Yep",95.83,"Balance",54.17,"Atlas",5.67,"Flat",93.83,"Noon",54.33,"0.365062238858881116243538",554,32
33,"Random",19.17,"Yep",95.83,"Balance",54.17,"Red Spider",5,"Flat",93.83,"Morning",9.33,"0.043558789382286300373437",238,33
34,"Main",24.33,"Yep",95.83,"Balance",54.17,"Mysore",4.83,"Flat",93.83,"Noon",54.33,"0.310978944213121000217370",530,34
35,"Group",45.33,"Yep",95.83,"Balance",54.17,"Pink Spider",3,"Flat",93.83,"Noon",54.33,"0.359872548043612905388500",552,35
36,"Random",19.17,"Yep",95.83,"Order",29.83,"Paddle",2,"Flat",93.83,"Noon",54.33,"0.055871235016415277119251",292,36
37,"Group",45.33,"Yep",95.83,"Balance",54.17,"Atlas",5.67,"Flat",93.83,"Bright Evening",10,"0.125190339739081224479378",392,37
38,"Random",19.17,"Yep",95.83,"Balance",54.17,"Hotshot",5.33,"Flat",93.83,"Noon",54.33,"0.270390274697838051132237",503,38
39,"Random",19.17,"Yep",95.83,"Order",29.83,"Nowak",2.17,"Flat",93.83,"Noon",54.33,"0.060620289992810577617277",303,39
40,"Random",19.17,"Yep",95.83,"Chaos",16,"Atlas",5.67,"Flat",93.83,"Noon",54.33,"0.084958740205987148819133",348,40
41,"Main",24.33,"Yep",95.83,"Chaos",16,"Revolucion",3.67,"Flat",93.83,"Noon",54.33,"0.069792871243067156061812",329,41
42,"Random",19.17,"Yep",95.83,"Order",29.83,"Hotspot",6,"Flat",93.83,"Noon",54.33,"0.167613705049245831357752",445,42
43,"Main",24.33,"Yep",95.83,"Balance",54.17,"Shelter",0.83,"Flat",93.83,"Morning",9.33,"0.009177066634396987415689",87,43
44,"Group",45.33,"Yep",95.83,"Balance",54.17,"Main Course",2.83,"Flat",93.83,"Bright Evening",10,"0.062484772744550255707541",309,44
45,"Group",45.33,"Yep",95.83,"Order",29.83,"Paddle",2,"Flat",93.83,"Noon",54.33,"0.132114923489520308397260",402,45
46,"Single",11.17,"Yep",95.83,"Order",29.83,"Green Spider",3.67,"Flat",93.83,"Noon",54.33,"0.059738649481988148615130",301,46
47,"Group",45.33,"Yep",95.83,"Balance",54.17,"Green Spider",3.67,"Flat",93.83,"Evening",11.17,"0.090512174042855761402215",351,47
