"id","Layout","Layout percent","Mirror","Mirror percent","Palette","Palette percent","Region","Region percent","Vortex","Vortex direction","Vortex direction percent","Vortex percent","rarity","rank","id again"
0,"Flame",15.43,"None",97.85,"Armodeo",0.78,"Topology",99.61,"None",,,95.8,"0.112380201879418190058502",400,0
1,"Rings",13.87,"None",97.85,"Cascara",1.07,"Topology",99.61,"None",,,95.8,"0.138576477563874700393853",459,1
2,"Rings",13.87,"None",97.85,"Brillosa",0.98,"Topology",99.61,"None",,,95.8,"0.126920512161305787390830",446,2
3,"Oleo",13.96,"None",97.85,"Pastel",1.86,"Topology",99.61,"None",,,95.8,"0.242453044345864815456437",797,3
4,"Caustics",3.61,"None",97.85,"Elico",1.66,"Topology",99.61,"None",,,95.8,"0.055955730410505791216913",200,4
5,"Rings",13.87,"None",97.85,"Zalce",1.76,"Topology",99.61,"None",,,95.8,"0.227938878983569570557677",756,5
6,"Marblelike",14.26,"None",97.85,"Golo",1.46,"Topology",99.61,"None",,,95.8,"0.194402417123546750188368",677,6
7,"Rings",13.87,"None",97.85,"Zovia",2.54,"Topology",99.61,"None",,,95.8,"0.328957245805833298213372",894,7
8,"Vapor",13.67,"None",97.85,"Melancolia",1.86,"Topology",99.61,"None",,,95.8,"0.237416412335814536183065",786,8
9,"Vapor",13.67,"None",97.85,"Novito",1.27,"Topology",99.61,"None",,,95.8,"0.162106905197034661947342",562,9
10,"Cellophane",5.66,"None",97.85,"Yikrato",2.93,"Topology",99.61,"None",,,95.8,"0.154850756263015393310312",556,10
11,"Dotted",4.39,"None",97.85,"Aurantia",2.93,"Topology",99.61,"None",,,95.8,"0.120105091871844066320207",428,11
12,"Oleo",13.96,"None",97.85,"Contra",0.68,"Topology",99.61,"None",,,95.8,"0.088638747395262396100435",353,12
13,"Flame",15.43,"None",97.85,"Purpa",2.25,"Topology",99.61,"None",,,95.8,"0.324173659267552427554193",881,13
14,"Oleo",13.96,"None",97.85,"Humo",1.27,"Topology",99.61,"None",,,95.8,"0.165545895870563591900648",582,14
15,"Vapor",13.67,"None",97.85,"Purpa",2.25,"Topology",99.61,"None",,,95.8,"0.287197272986872420563742",858,15
16,"Flame",15.43,"None",97.85,"Propano",3.13,"Topology",99.61,"None",,,95.8,"0.450961579336639661885755",1006,16
17,"Flame",15.43,"None",97.85,"Qome",0.98,"Topology",99.61,"None",,,95.8,"0.141195638258756167582320",495,17
18,"Marblelike",14.26,"None",97.85,"Frugal",3.52,"Topology",99.61,"None",,,95.8,"0.468696238544441590168077",1021,18
19,"Rings",13.87,"None",97.85,"Verdico",1.27,"Topology",99.61,"None",,,95.8,"0.164478622902916649106686",568,19
20,"Nebula",4.49,"Double",0.29,"Udomeo",1.27,"Topology",99.61,"None",,,95.8,"0.000157803455535459946158",41,20
21,"Rings",13.87,"None",97.85,"Barin",1.46,"Topology",99.61,"None",,,95.8,"0.189085660975006564221701",635,21
22,"Cellophane",5.66,"None",97.85,"Empireo",1.46,"Topology",99.61,"None",,,95.8,"0.077161127694198791693303",305,22
23,"Oleo",13.96,"None",97.85,"Ilego",0.29,"Topology",99.61,"None",,,95.8,"0.037801818742097197112439",136,23
24,"Rings",13.87,"None",97.85,"Yikrato",2.93,"Topology",99.61,"None",,,95.8,"0.379466429216965217552371",926,24
25,"Filaments",4.39,"None",97.85,"Henico",0.1,"Topology",99.61,"None",,,95.8,"0.004099149893236998971890",62,25
26,"Rings",13.87,"None",97.85,"Tellurica",1.66,"Topology",99.61,"None",,,95.8,"0.214987806314048568445685",713,26
27,"Nebula",4.49,"None",97.85,"Jovica",1.17,"Topology",99.61,"None",,,95.8,"0.049052537890983891055718",166,27
28,"Flame",15.43,"None",97.85,"Purpa",2.25,"Topology",99.61,"None",,,95.8,"0.324173659267552427554193",884,28
29,"Rings",13.87,"None",97.85,"Cascara",1.07,"Topology",99.61,"None",,,95.8,"0.138576477563874700393853",466,29
30,"Oleo",13.96,"None",97.85,"Aurantia",2.93,"Topology",99.61,"None",,,95.8,"0.381928720394292375850398",931,30
31,"Flame",15.43,"None",97.85,"Qome",0.98,"Topology",99.61,"None",,,95.8,"0.141195638258756167582320",494,31
32,"Sinousity",1.86,"None",97.85,"Vitrio",0.49,"Topology",99.61,"None",,,95.8,"0.008510171327326199533503",85,32
33,"Flame",15.43,"None",97.85,"Drago",1.56,"Topology",99.61,"None",,,95.8,"0.224760403758836380117003",737,33
34,"Marblelike",14.26,"None",97.85,"Omino",1.07,"Topology",99.61,"None",,,95.8,"0.142473004330270602846298",502,34
35,"Flame",15.43,"None",97.85,"Qome",0.98,"Topology",99.61,"None",,,95.8,"0.141195638258756167582320",469,35
36,"Oleo",13.96,"None",97.85,"Empireo",1.46,"Topology",99.61,"None",,,95.8,"0.190312604701592807954214",658,36
37,"Nebula",4.49,"None",97.85,"Zalce",1.76,"Topology",99.61,"None",,,95.8,"0.073788433066779207658570",282,37
38,"Marblelike",14.26,"None",97.85,"Humo",1.27,"Topology",99.61,"None",,,95.8,"0.169103472429386531006301",598,38
39,"Vapor",13.67,"None",97.85,"Tempesta",2.93,"Topology",99.61,"None",,,95.8,"0.373994671045127180519785",910,39
40,"Cells",3.81,"None",97.85,"Diluto",1.95,"Topology",99.61,"None",,,95.8,"0.069372742897048492172196",266,40
41,"Flame",15.43,"None",97.85,"Propano",3.13,"Topology",99.61,"None",,,95.8,"0.450961579336639661885755",1005,41
42,"Oleo",13.96,"None",97.85,"Menta",0.39,"Topology",99.61,"None",,,95.8,"0.050836928653165198987995",180,42
43,"Nebula",4.49,"None",97.85,"Yikrato",2.93,"Topology",99.61,"None",,,95.8,"0.122840970957763084836500",434,43
44,"Oleo",13.96,"None",97.85,"Radiosa",1.46,"Topology",99.61,"None",,,95.8,"0.190312604701592807954214",655,44
45,"Flame",15.43,"None",97.85,"Drago",1.56,"Topology",99.61,"None",,,95.8,"0.224760403758836380117003",734,45
46,"Cells",3.81,"None",97.85,"Tormenta",1.46,"Topology",99.61,"None",,,95.8,"0.051940617758815789406501",187,46
47,"Vapor",13.67,"None",97.85,"Frugal",3.52,"Topology",99.61,"None",,,95.8,"0.449304178183907054755508",990,47
48,"Nebula",4.49,"None",97.85,"Flama",2.15,"Topology",99.61,"None",,,95.8,"0.090139279030440486173426",360,48
49,"Flame",15.43,"None",97.85,"Oro",1.07,"Topology",99.61,"None",,,95.8,"0.154162584629458310203631",538,49
50,"Marblelike",14.26,"None",97.85,"Humo",1.27,"Topology",99.61,"None",,,95.8,"0.169103472429386531006301",602,50
51,"Flame",15.43,"None",97.85,"Qurio",1.07,"Topology",99.61,"None",,,95.8,"0.154162584629458310203631",545,51
52,"Caustics",3.61,"None",97.85,"Aurantia",2.93,"Topology",99.61,"None",,,95.8,"0.098765235001675888426576",375,52
53,"Flame",15.43,"None",97.85,"Qome",0.98,"Topology",99.61,"None",,,95.8,"0.141195638258756167582320",478,53
54,"Marblelike",14.26,"None",97.85,"Golo",1.46,"Topology",99.61,"None",,,95.8,"0.194402417123546750188368",672,54
55,"Cellophane",5.66,"None",97.85,"Vitrio",0.49,"Topology",99.61,"None",,,95.8,"0.025896542856272197069556",123,55
56,"Rings",13.87,"None",97.85,"Kalino",0.2,"Topology",99.61,"None",,,95.8,"0.025902145339041993815643",124,56
57,"Flame",15.43,"None",97.85,"Granito",1.27,"Topology",99.61,"None",,,95.8,"0.182978021008796287727449",622,57
58,"Marblelike",14.26,"None",97.85,"Golo",1.46,"Topology",99.61,"None",,,95.8,"0.194402417123546750188368",673,58
59,"Flame",15.43,"None",97.85,"Purpureo",0.98,"Topology",99.61,"None",,,95.8,"0.141195638258756167582320",475,59
60,"Cellophane",5.66,"None",97.85,"Savon",0.29,"Topology",99.61,"None",,,95.8,"0.015326525363916196353919",95,60
61,"Cells",3.81,"None",97.85,"Vedante",0.59,"Topology",99.61,"None",,,95.8,"0.020989701697055697382499",106,61
62,"Oleo",13.96,"None",97.85,"Flama",2.15,"Topology",99.61,"None",,,95.8,"0.280254863087961991752195",840,62
63,"Oleo",13.96,"None",97.85,"Menta",0.39,"Topology",99.61,"None",,,95.8,"0.050836928653165198987995",182,63
64,"Rings",13.87,"None",97.85,"Verdico",1.27,"Topology",99.61,"None",,,95.8,"0.164478622902916649106686",571,64
65,"Oleo",13.96,"None",97.85,"Dorado",3.03,"Topology",99.61,"None",,,95.8,"0.394963830305360363848166",952,65
66,"Caustics",3.61,"None",97.85,"Udomeo",1.27,"Topology",99.61,"None",,,95.8,"0.042809504591170097209663",152,66
67,"Flame",15.43,"None",97.85,"Purpureo",0.98,"Topology",99.61,"None",,,95.8,"0.141195638258756167582320",473,67
68,"Filaments",4.39,"None",97.85,"Zalce",1.76,"Topology",99.61,"None",,,95.8,"0.072145038120971186068608",276,68
69,"Rings",13.87,"None",97.85,"Brillosa",0.98,"Topology",99.61,"None",,,95.8,"0.126920512161305787390830",453,69
70,"Marblelike",14.26,"None",97.85,"Omino",1.07,"Topology",99.61,"None",,,95.8,"0.142473004330270602846298",503,70
71,"Vapor",13.67,"None",97.85,"Aurantia",2.93,"Topology",99.61,"None",,,95.8,"0.373994671045127180519785",919,71
72,"Marblelike",14.26,"None",97.85,"Dorado",3.03,"Topology",99.61,"None",,,95.8,"0.403451591701607326090340",970,72
73,"Marblelike",14.26,"None",97.85,"Difumina",0.49,"Topology",99.61,"None",,,95.8,"0.065244646842834180811010",251,73
74,"Flame",15.43,"Double",0.29,"Purpa",2.25,"Topology",99.61,"None",,,95.8,"0.000960759950818499829268",52,74
75,"Sinousity",1.86,"None",97.85,"Yikrato",2.93,"Topology",99.61,"None",,,95.8,"0.050887350998093404397249",184,75
76,"Marblelike",14.26,"None",97.85,"Zovia",2.54,"Topology",99.61,"Soft","Right",2.44,1.46,"0.000125764970810531652229",39,76
77,"Vapor",13.67,"None",97.85,"Purpa",2.25,"Topology",99.61,"None",,,95.8,"0.287197272986872420563742",856,77
78,"Cells",3.81,"None",97.85,"Vedante",0.59,"Topology",99.61,"None",,,95.8,"0.020989701697055697382499",107,78
79,"Flame",15.43,"None",97.85,"Granito",1.27,"Topology",99.61,"None",,,95.8,"0.182978021008796287727449",620,79
80,"Cellophane",5.66,"None",97.85,"Savon",0.29,"Topology",99.61,"None",,,95.8,"0.015326525363916196353919",97,80
81,"Oleo",13.96,"None",97.85,"Pastel",1.86,"Topology",99.61,"None",,,95.8,"0.242453044345864815456437",799,81
82,"Filaments",4.39,"None",97.85,"Flama",2.15,"Topology",99.61,"None",,,95.8,"0.088131722704595474859879",343,82
83,"Filaments",4.39,"None",97.85,"Frugal",3.52,"Topology",99.61,"None",,,95.8,"0.144290076241942372137217",513,83
84,"Cellophane",5.66,"None",97.85,"Frugal",3.52,"Topology",99.61,"None",,,95.8,"0.186032307865465595941856",626,84
85,"Rings",13.87,"None",97.85,"Volka",1.86,"Topology",99.61,"None",,,95.8,"0.240889951653090544914093",793,85
86,"Rings",13.87,"None",97.85,"Brillosa",0.98,"Topology",99.61,"None",,,95.8,"0.126920512161305787390830",447,86
87,"Flame",15.43,"None",97.85,"Granito",1.27,"Topology",99.61,"None",,,95.8,"0.182978021008796287727449",618,87
88,"Marblelike",14.26,"None",97.85,"Kovera",1.07,"Topology",99.61,"None",,,95.8,"0.142473004330270602846298",500,88
89,"Marblelike",14.26,"None",97.85,"Tempesta",2.93,"Topology",99.61,"None",,,95.8,"0.390136357652049348132550",941,89
90,"Marblelike",14.26,"None",97.85,"Melancolia",1.86,"Topology",99.61,"None",,,95.8,"0.247663353321778773041828",817,90
91,"Sinousity",1.86,"None",97.85,"Oranaz",2.15,"Topology",99.61,"None",,,95.8,"0.037340547660716989775143",135,91
92,"Dotted",4.39,"None",97.85,"Propano",3.13,"Topology",99.61,"None",,,95.8,"0.128303391658318083345947",455,92
93,"Rings",13.87,"None",97.85,"Barin",1.46,"Topology",99.61,"None",,,95.8,"0.189085660975006564221701",633,93
94,"Flame",15.43,"None",97.85,"Granito",1.27,"Topology",99.61,"None",,,95.8,"0.182978021008796287727449",614,94
95,"Cells",3.81,"None",97.85,"Rubero",1.76,"Topology",99.61,"None",,,95.8,"0.062613347435284794073596",238,95
96,"Filaments",4.39,"None",97.85,"Grava",0.68,"Topology",99.61,"None",,,95.8,"0.027874219274011596825247",128,96
97,"Vapor",13.67,"None",97.85,"Golico",1.17,"Topology",99.61,"None",,,95.8,"0.149342581953173680897606",519,97
98,"Nebula",4.49,"None",97.85,"Yikrato",2.93,"Topology",99.61,"None",,,95.8,"0.122840970957763084836500",439,98
99,"Nebula",4.49,"None",97.85,"Bakira",0.2,"Topology",99.61,"None",,,95.8,"0.008385049212133999924079",84,99
100,"Vapor",13.67,"None",97.85,"Tempesta",2.93,"Topology",99.61,"None",,,95.8,"0.373994671045127180519785",917,100
101,"Vapor",13.67,"None",97.85,"Fosfora",0.68,"Topology",99.61,"None",,,95.8,"0.086797398058254773833831",316,101
102,"Flame",15.43,"None",97.85,"Drago",1.56,"Topology",99.61,"None",,,95.8,"0.224760403758836380117003",736,102
103,"Flame",15.43,"None",97.85,"Propano",3.13,"Topology",99.61,"None",,,95.8,"0.450961579336639661885755",1012,103
104,"Cellophane",5.66,"None",97.85,"Aurantia",2.93,"Topology",99.61,"None",,,95.8,"0.154850756263015393310312",554,104
105,"Rings",13.87,"None",97.85,"Cascara",1.07,"Topology",99.61,"None",,,95.8,"0.138576477563874700393853",467,105
106,"Vapor",13.67,"None",97.85,"Xaico",0.59,"Topology",99.61,"None",,,95.8,"0.075309507138779888113511",288,106
107,"Cells",3.81,"None",97.85,"Xenoid",1.07,"Topology",99.61,"None",,,95.8,"0.038066069179406095135398",140,107
108,"Vapor",13.67,"None",97.85,"Novito",1.27,"Topology",99.61,"None",,,95.8,"0.162106905197034661947342",566,108
109,"Oleo",13.96,"None",97.85,"Golico",1.17,"Topology",99.61,"None",,,95.8,"0.152510785959495548391729",526,109
110,"Oleo",13.96,"None",97.85,"Tormenta",1.46,"Topology",99.61,"None",,,95.8,"0.190312604701592807954214",654,110
111,"Marblelike",14.26,"None",97.85,"Mineralia",1.37,"Topology",99.61,"Soft","Right",2.44,1.46,"0.000067833862208830074956",24,111
112,"Oleo",13.96,"None",97.85,"Tellurica",1.66,"Topology",99.61,"None",,,95.8,"0.216382824523728811705325",718,112
113,"Partitions",0.59,"None",97.85,"Xenoid",1.07,"Topology",99.61,"None",,,95.8,"0.005894745620957899528980",73,113
114,"Flame",15.43,"None",97.85,"Drago",1.56,"Topology",99.61,"None",,,95.8,"0.224760403758836380117003",739,114
115,"Nebula",4.49,"None",97.85,"Udomeo",1.27,"Topology",99.61,"None",,,95.8,"0.053245062497050889283035",193,115
116,"Dotted",4.39,"None",97.85,"Aurantia",2.93,"Topology",99.61,"None",,,95.8,"0.120105091871844066320207",429,116
117,"Cells",3.81,"None",97.85,"Aruleo",0.2,"Topology",99.61,"None",,,95.8,"0.007115153117645998774587",76,117
