"id","Blended","Blended percent","Brushed","Brushed percent","Grid","Grid percent","Landscape","Landscape percent","Lattice","Lattice percent","Palette","Palette percent","Patchwork","Patchwork percent","River","River percent","Stippled","Stippled percent","Style","Style percent","Wireframe","Wireframe percent","rarity","rank","id again"
0,"False",83.69,"False",81.23,"False",91.23,"Coast",5.85,"False",90.92,"Disco",2,"True",72.31,"False",95.08,"False",91.85,"Acrylic",24.31,"False",97.38,"0.009862667886869630126667",125,0
1,"False",83.69,"False",81.23,"False",91.23,"Mountains",81.54,"False",90.92,"Peppermint",4.77,"False",27.69,"False",95.08,"False",91.85,"Pencil",24.62,"False",97.38,"0.127152621201467558309517",397,1
2,"False",83.69,"False",81.23,"False",91.23,"Mountains",81.54,"False",90.92,"Peppermint",4.77,"False",27.69,"False",95.08,"False",91.85,"Pencil",24.62,"False",97.38,"0.127152621201467558309517",396,2
3,"True",16.31,"False",81.23,"True",8.77,"Mountains",81.54,"False",90.92,"Lime",3.85,"True",72.31,"False",95.08,"False",91.85,"Pencil",24.62,"False",97.38,"0.005020944089741659691062",91,3
4,"False",83.69,"False",81.23,"False",91.23,"Mountains",81.54,"False",90.92,"Peppermint",4.77,"True",72.31,"False",95.08,"False",91.85,"Pencil",24.62,"False",97.38,"0.332047888735215512845400",521,4
5,"False",83.69,"False",81.23,"False",91.23,"Mountains",81.54,"False",90.92,"Procedural",51.08,"True",72.31,"False",95.08,"False",91.85,"Riso",5.54,"False",97.38,"0.800119673183630419899259",598,5
6,"True",16.31,"False",81.23,"False",91.23,"Mountains",81.54,"False",90.92,"Siren",2.31,"True",72.31,"False",95.08,"False",91.85,"Acrylic",24.31,"False",97.38,"0.030943656220729875289122",247,6
7,"False",83.69,"False",81.23,"True",8.77,"Mountains",81.54,"False",90.92,"Campgrounds",1.69,"False",27.69,"False",95.08,"False",91.85,"Acrylic",24.31,"False",97.38,"0.004276145476951281713951",84,7
8,"False",83.69,"False",81.23,"False",91.23,"Hills",6.92,"False",90.92,"Procedural",51.08,"True",72.31,"False",95.08,"False",91.85,"Warhol",9.69,"False",97.38,"0.118769341488161775388654",392,8
9,"False",83.69,"False",81.23,"False",91.23,"Hills",6.92,"False",90.92,"Procedural",51.08,"False",27.69,"False",95.08,"False",91.85,"Drift",3.69,"False",97.38,"0.017319347729880148201165",181,9
10,"False",83.69,"False",81.23,"False",91.23,"Mountains",81.54,"False",90.92,"Procedural",51.08,"False",27.69,"False",95.08,"False",91.85,"Metallic",4.31,"False",97.38,"0.238367503794232965530497",469,10
11,"False",83.69,"False",81.23,"False",91.23,"Mountains",81.54,"False",90.92,"Procedural",51.08,"True",72.31,"False",95.08,"False",91.85,"Drift",3.69,"False",97.38,"0.532931695676461592015016",570,11
12,"False",83.69,"False",81.23,"True",8.77,"Mountains",81.54,"True",9.08,"Procedural",51.08,"True",72.31,"False",95.08,"False",91.85,"Neon",7.38,"False",97.38,"0.010232691616449783936216",130,12
13,"False",83.69,"False",81.23,"False",91.23,"Coast",5.85,"False",90.92,"Chalk",2,"True",72.31,"False",95.08,"False",91.85,"Acrylic",24.31,"False",97.38,"0.009862667886869630126667",126,13
14,"True",16.31,"True",18.77,"True",8.77,"Mountains",81.54,"False",90.92,"Midnight",3.08,"False",27.69,"False",95.08,"False",91.85,"Acrylic",24.31,"False",97.38,"0.000350949555101626804905",12,14
15,"False",83.69,"False",81.23,"False",91.23,"Mountains",81.54,"False",90.92,"Ballpoint",5.69,"True",72.31,"False",95.08,"False",91.85,"Pencil",24.62,"False",97.38,"0.396090668113915578274487",539,15
16,"False",83.69,"False",81.23,"False",91.23,"Mountains",81.54,"False",90.92,"Spring",2,"True",72.31,"False",95.08,"False",91.85,"Acrylic",24.31,"False",97.38,"0.137470417007752088167649",413,16
17,"True",16.31,"False",81.23,"False",91.23,"Mountains",81.54,"False",90.92,"Lime",3.85,"True",72.31,"False",95.08,"False",91.85,"Pencil",24.62,"False",97.38,"0.052230413832056059308950",310,17
18,"False",83.69,"False",81.23,"False",91.23,"Mountains",81.54,"False",90.92,"Procedural",51.08,"True",72.31,"False",95.08,"False",91.85,"Warhol",9.69,"False",97.38,"1.399487298402414925391213",635,18
19,"False",83.69,"False",81.23,"False",91.23,"Coast",5.85,"True",9.08,"Procedural",51.08,"True",72.31,"False",95.08,"False",91.85,"Warhol",9.69,"False",97.38,"0.010027219955115495783615",127,19
20,"False",83.69,"False",81.23,"False",91.23,"Mountains",81.54,"False",90.92,"Procedural",51.08,"True",72.31,"False",95.08,"False",91.85,"Warhol",9.69,"False",97.38,"1.399487298402414925391213",632,20
21,"False",83.69,"False",81.23,"False",91.23,"Coast",5.85,"False",90.92,"Procedural",51.08,"False",27.69,"False",95.08,"False",91.85,"Drift",3.69,"False",97.38,"0.014641356101127003808138",171,21
22,"False",83.69,"False",81.23,"False",91.23,"Hills",6.92,"False",90.92,"Acid",6.15,"True",72.31,"False",95.08,"False",91.85,"Pencil",24.62,"False",97.38,"0.036332296296279084635295",269,22
23,"False",83.69,"False",81.23,"False",91.23,"Hills",6.92,"False",90.92,"Procedural",51.08,"False",27.69,"False",95.08,"False",91.85,"Warhol",9.69,"False",97.38,"0.045480888754075500524099",294,23
24,"False",83.69,"False",81.23,"False",91.23,"Mountains",81.54,"False",90.92,"Peppermint",4.77,"True",72.31,"False",95.08,"True",8.15,"Pencil",24.62,"False",97.38,"0.029463149626478030151944",240,24
25,"False",83.69,"False",81.23,"False",91.23,"Waterfall",0.62,"False",90.92,"Disco",2,"True",72.31,"False",95.08,"False",91.85,"Acrylic",24.31,"False",97.38,"0.001045274203394730211034",35,25
26,"False",83.69,"False",81.23,"False",91.23,"Mountains",81.54,"False",90.92,"Memphis",4.15,"True",72.31,"False",95.08,"True",8.15,"Pencil",24.62,"False",97.38,"0.025633557851128689619724",217,26
27,"False",83.69,"False",81.23,"False",91.23,"Mountains",81.54,"False",90.92,"Procedural",51.08,"False",27.69,"False",95.08,"True",8.15,"Screenprint",6.46,"False",97.38,"0.031701568069756061452047",249,27
28,"False",83.69,"False",81.23,"False",91.23,"Summit",5.08,"False",90.92,"Spring",2,"False",27.69,"False",95.08,"False",91.85,"Acrylic",24.31,"False",97.38,"0.003279645096055075655095",74,28
29,"False",83.69,"False",81.23,"False",91.23,"Mountains",81.54,"False",90.92,"Procedural",51.08,"True",72.31,"False",95.08,"False",91.85,"Invert",2.15,"False",97.38,"0.310515757643466616677586",506,29
30,"False",83.69,"True",18.77,"False",91.23,"Mountains",81.54,"False",90.92,"Procedural",51.08,"True",72.31,"False",95.08,"False",91.85,"Screenprint",6.46,"False",97.38,"0.215588465599846790254901",464,30
31,"False",83.69,"False",81.23,"False",91.23,"Coast",5.85,"False",90.92,"Peppermint",4.77,"True",72.31,"False",95.08,"False",91.85,"Pencil",24.62,"False",97.38,"0.023822420273497801196383",212,31
32,"False",83.69,"True",18.77,"False",91.23,"Mountains",81.54,"False",90.92,"Procedural",51.08,"True",72.31,"False",95.08,"False",91.85,"Riso",5.54,"False",97.38,"0.184885464306989322214037",443,32
33,"False",83.69,"False",81.23,"False",91.23,"Summit",5.08,"False",90.92,"Memphis",4.15,"True",72.31,"False",95.08,"False",91.85,"Pencil",24.62,"False",97.38,"0.017997966786929733840061",184,33
34,"False",83.69,"False",81.23,"False",91.23,"Mountains",81.54,"True",9.08,"PeachPlum",1.85,"False",27.69,"False",95.08,"False",91.85,"Acrylic",24.31,"False",97.38,"0.004862974569775036989827",88,34
35,"False",83.69,"False",81.23,"False",91.23,"Mountains",81.54,"False",90.92,"Procedural",51.08,"False",27.69,"False",95.08,"False",91.85,"Screenprint",6.46,"False",97.38,"0.357274727264674074600492",528,35
36,"False",83.69,"False",81.23,"False",91.23,"Mountains",81.54,"False",90.92,"Procedural",51.08,"True",72.31,"False",95.08,"False",91.85,"Minimal",6.92,"False",97.38,"0.999427461810599493396978",613,36
37,"False",83.69,"False",81.23,"False",91.23,"Mountains",81.54,"False",90.92,"Highlighter",1.23,"True",72.31,"False",95.08,"False",91.85,"Acrylic",24.31,"False",97.38,"0.084544306459767515349313",369,37
38,"True",16.31,"False",81.23,"False",91.23,"Mountains",81.54,"False",90.92,"Procedural",51.08,"False",27.69,"False",95.08,"False",91.85,"Neon",7.38,"False",97.38,"0.079543836435379489113728",358,38
39,"False",83.69,"False",81.23,"False",91.23,"Mountains",81.54,"False",90.92,"Acid",6.15,"True",72.31,"False",95.08,"False",91.85,"Pencil",24.62,"False",97.38,"0.428112057803265444455576",550,39
40,"True",16.31,"False",81.23,"False",91.23,"Mountains",81.54,"False",90.92,"Lime",3.85,"True",72.31,"False",95.08,"False",91.85,"Pencil",24.62,"False",97.38,"0.052230413832056059308950",308,40
41,"False",83.69,"False",81.23,"False",91.23,"Summit",5.08,"False",90.92,"Procedural",51.08,"True",72.31,"False",95.08,"False",91.85,"Metallic",4.31,"False",97.38,"0.038780683530709271489290",285,41
42,"False",83.69,"True",18.77,"True",8.77,"Mountains",81.54,"False",90.92,"Procedural",51.08,"False",27.69,"False",95.08,"False",91.85,"Invert",2.15,"False",97.38,"0.002641301488898085622625",61,42
43,"True",16.31,"True",18.77,"False",91.23,"Mountains",81.54,"False",90.92,"Procedural",51.08,"False",27.69,"True",4.92,"False",91.85,"Riso",5.54,"False",97.38,"0.000713976118337661565250",25,43
44,"False",83.69,"False",81.23,"False",91.23,"Mountains",81.54,"False",90.92,"Procedural",51.08,"True",72.31,"False",95.08,"False",91.85,"Warhol",9.69,"False",97.38,"1.399487298402414925391213",647,44
45,"True",16.31,"False",81.23,"False",91.23,"Mountains",81.54,"False",90.92,"Peppermint",4.77,"True",72.31,"False",95.08,"False",91.85,"Pencil",24.62,"False",97.38,"0.064711447786729187070520",333,45
46,"False",83.69,"False",81.23,"True",8.77,"Mountains",81.54,"True",9.08,"Procedural",51.08,"True",72.31,"False",95.08,"False",91.85,"Neon",7.38,"False",97.38,"0.010232691616449783936216",129,46
47,"True",16.31,"True",18.77,"False",91.23,"Mountains",81.54,"False",90.92,"PeachPlum",1.85,"True",72.31,"False",95.08,"False",91.85,"Acrylic",24.31,"False",97.38,"0.005726367225321584743247",97,47
48,"False",83.69,"False",81.23,"False",91.23,"Coast",5.85,"False",90.92,"Procedural",51.08,"True",72.31,"False",95.08,"False",91.85,"Minimal",6.92,"False",97.38,"0.071702853220407244960732",344,48
49,"False",83.69,"False",81.23,"False",91.23,"Mountains",81.54,"False",90.92,"Procedural",51.08,"True",72.31,"False",95.08,"False",91.85,"Riso",5.54,"False",97.38,"0.800119673183630419899259",600,49
50,"False",83.69,"False",81.23,"False",91.23,"Summit",5.08,"False",90.92,"Procedural",51.08,"True",72.31,"False",95.08,"False",91.85,"Neon",7.38,"False",97.38,"0.066404047437734231573714",339,50
51,"False",83.69,"False",81.23,"False",91.23,"Mountains",81.54,"False",90.92,"Procedural",51.08,"True",72.31,"True",4.92,"False",91.85,"Screenprint",6.46,"False",97.38,"0.048278484841816599049125",302,51
52,"False",83.69,"False",81.23,"False",91.23,"Mountains",81.54,"False",90.92,"Procedural",51.08,"True",72.31,"False",95.08,"False",91.85,"Screenprint",6.46,"False",97.38,"0.932991532268276690942344",605,52
53,"False",83.69,"False",81.23,"False",91.23,"Mountains",81.54,"False",90.92,"Lime",3.85,"True",72.31,"False",95.08,"False",91.85,"Pencil",24.62,"False",97.38,"0.268005109356515724972070",484,53
54,"False",83.69,"False",81.23,"False",91.23,"Mountains",81.54,"True",9.08,"Acid",6.15,"True",72.31,"False",95.08,"False",91.85,"Pencil",24.62,"False",97.38,"0.042754701769177859416171",293,54
55,"False",83.69,"False",81.23,"False",91.23,"Mountains",81.54,"False",90.92,"Procedural",51.08,"True",72.31,"False",95.08,"False",91.85,"Riso",5.54,"False",97.38,"0.800119673183630419899259",597,55
56,"False",83.69,"False",81.23,"False",91.23,"Mountains",81.54,"False",90.92,"Procedural",51.08,"False",27.69,"False",95.08,"False",91.85,"Minimal",6.92,"False",97.38,"0.382715342518814838346231",538,56
57,"False",83.69,"True",18.77,"False",91.23,"Mountains",81.54,"False",90.92,"Procedural",51.08,"True",72.31,"False",95.08,"False",91.85,"Warhol",9.69,"False",97.38,"0.323382698399770185382351",511,57
58,"False",83.69,"False",81.23,"False",91.23,"Mountains",81.54,"False",90.92,"Procedural",51.08,"True",72.31,"True",4.92,"False",91.85,"Neon",7.38,"False",97.38,"0.055154058534459204921063",323,58
59,"False",83.69,"False",81.23,"False",91.23,"Mountains",81.54,"False",90.92,"Procedural",51.08,"True",72.31,"False",95.08,"False",91.85,"Lino",4,"False",97.38,"0.577703735150635555584131",580,59
60,"False",83.69,"False",81.23,"False",91.23,"Mountains",81.54,"True",9.08,"Procedural",51.08,"True",72.31,"False",95.08,"False",91.85,"Invert",2.15,"False",97.38,"0.031010592602317168381409",248,60
61,"False",83.69,"True",18.77,"False",91.23,"Mountains",81.54,"False",90.92,"Procedural",51.08,"True",72.31,"False",95.08,"False",91.85,"Lino",4,"False",97.38,"0.133491309968945370822979",402,61
62,"True",16.31,"False",81.23,"False",91.23,"Mountains",81.54,"False",90.92,"Peppermint",4.77,"True",72.31,"False",95.08,"False",91.85,"Pencil",24.62,"False",97.38,"0.064711447786729187070520",331,62
63,"False",83.69,"False",81.23,"False",91.23,"Mountains",81.54,"False",90.92,"Procedural",51.08,"False",27.69,"False",95.08,"True",8.15,"Warhol",9.69,"False",97.38,"0.047552352104634071361389",296,63
64,"False",83.69,"False",81.23,"False",91.23,"Mountains",81.54,"False",90.92,"Procedural",51.08,"True",72.31,"False",95.08,"False",91.85,"Riso",5.54,"False",97.38,"0.800119673183630419899259",604,64
65,"False",83.69,"False",81.23,"False",91.23,"Mountains",81.54,"False",90.92,"Peppermint",4.77,"True",72.31,"False",95.08,"False",91.85,"Pencil",24.62,"False",97.38,"0.332047888735215512845400",523,65
66,"False",83.69,"False",81.23,"False",91.23,"Mountains",81.54,"False",90.92,"Highlighter",1.23,"True",72.31,"False",95.08,"False",91.85,"Acrylic",24.31,"False",97.38,"0.084544306459767515349313",370,66
67,"True",16.31,"False",81.23,"False",91.23,"Mountains",81.54,"False",90.92,"Midnight",3.08,"True",72.31,"True",4.92,"False",91.85,"Acrylic",24.31,"False",97.38,"0.002134943045940135199906",49,67
68,"False",83.69,"False",81.23,"False",91.23,"Mountains",81.54,"False",90.92,"Ballpoint",5.69,"False",27.69,"False",95.08,"False",91.85,"Pencil",24.62,"False",97.38,"0.151676816485608129125850",428,68
69,"False",83.69,"True",18.77,"False",91.23,"Mountains",81.54,"False",90.92,"Procedural",51.08,"True",72.31,"False",95.08,"False",91.85,"Neon",7.38,"False",97.38,"0.246291466892704230540190",478,69
70,"False",83.69,"False",81.23,"False",91.23,"Mountains",81.54,"False",90.92,"Procedural",51.08,"False",27.69,"False",95.08,"False",91.85,"Lino",4,"False",97.38,"0.221222741340355411043817",466,70
71,"False",83.69,"False",81.23,"False",91.23,"Coast",5.85,"False",90.92,"Peppermint",4.77,"True",72.31,"False",95.08,"False",91.85,"Pencil",24.62,"False",97.38,"0.023822420273497801196383",211,71
72,"False",83.69,"False",81.23,"False",91.23,"Mountains",81.54,"True",9.08,"Bauhaus",2,"True",72.31,"False",95.08,"False",91.85,"Acrylic",24.31,"False",97.38,"0.013728897783000319418600",163,72
73,"False",83.69,"False",81.23,"False",91.23,"Mountains",81.54,"True",9.08,"Procedural",51.08,"True",72.31,"False",95.08,"False",91.85,"Warhol",9.69,"False",97.38,"0.139764019682071360950459",418,73
74,"False",83.69,"False",81.23,"False",91.23,"Mountains",81.54,"False",90.92,"Bauhaus",2,"False",27.69,"False",95.08,"False",91.85,"Acrylic",24.31,"False",97.38,"0.052642177388254114689392",316,74
75,"False",83.69,"False",81.23,"True",8.77,"Mountains",81.54,"False",90.92,"Procedural",51.08,"False",27.69,"False",95.08,"False",91.85,"Neon",7.38,"False",97.38,"0.039236301103461837525010",287,75
76,"False",83.69,"False",81.23,"False",91.23,"Mountains",81.54,"False",90.92,"Peppermint",4.77,"True",72.31,"False",95.08,"False",91.85,"Pencil",24.62,"False",97.38,"0.332047888735215512845400",519,76
77,"True",16.31,"False",81.23,"False",91.23,"Mountains",81.54,"False",90.92,"Procedural",51.08,"True",72.31,"False",95.08,"False",91.85,"Neon",7.38,"False",97.38,"0.207721733934355029527197",453,77
78,"False",83.69,"True",18.77,"False",91.23,"Summit",5.08,"False",90.92,"Pop",1.69,"True",72.31,"False",95.08,"False",91.85,"Acrylic",24.31,"False",97.38,"0.001672271481891104191048",44,78
79,"False",83.69,"False",81.23,"False",91.23,"Summit",5.08,"False",90.92,"Procedural",51.08,"True",72.31,"False",95.08,"False",91.85,"Minimal",6.92,"False",97.38,"0.062265041770883558513994",330,79
80,"False",83.69,"False",81.23,"False",91.23,"Waterfall",0.62,"True",9.08,"Procedural",51.08,"True",72.31,"False",95.08,"False",91.85,"Drift",3.69,"False",97.38,"0.000404686721059039375501",15,80
81,"False",83.69,"False",81.23,"False",91.23,"Coast",5.85,"False",90.92,"Ballpoint",5.69,"True",72.31,"False",95.08,"False",91.85,"Pencil",24.62,"False",97.38,"0.028417100913250011029465",236,81
82,"True",16.31,"True",18.77,"False",91.23,"Mountains",81.54,"False",90.92,"Chalk",2,"False",27.69,"False",95.08,"False",91.85,"Acrylic",24.31,"False",97.38,"0.002370620615729641684349",56,82
83,"False",83.69,"True",18.77,"False",91.23,"Mountains",81.54,"False",90.92,"Procedural",51.08,"True",72.31,"False",95.08,"False",91.85,"Screenprint",6.46,"False",97.38,"0.215588465599846790254901",462,83
84,"False",83.69,"False",81.23,"False",91.23,"Coast",5.85,"False",90.92,"Midnight",3.08,"True",72.31,"False",95.08,"False",91.85,"Acrylic",24.31,"False",97.38,"0.015188508545779228972594",175,84
85,"False",83.69,"False",81.23,"False",91.23,"Mountains",81.54,"False",90.92,"Procedural",51.08,"False",27.69,"False",95.08,"False",91.85,"Minimal",6.92,"False",97.38,"0.382715342518814838346231",531,85
86,"False",83.69,"False",81.23,"True",8.77,"Mountains",81.54,"True",9.08,"Procedural",51.08,"True",72.31,"False",95.08,"False",91.85,"Lino",4,"False",97.38,"0.005546174317858957973637",95,86
87,"False",83.69,"False",81.23,"False",91.23,"Mountains",81.54,"False",90.92,"Siren",2.31,"True",72.31,"False",95.08,"True",8.15,"Acrylic",24.31,"False",97.38,"0.014088659802920218064304",167,87
88,"False",83.69,"True",18.77,"False",91.23,"Mountains",81.54,"False",90.92,"Procedural",51.08,"True",72.31,"False",95.08,"False",91.85,"Neon",7.38,"False",97.38,"0.246291466892704230540190",480,88
89,"False",83.69,"True",18.77,"False",91.23,"Mountains",81.54,"False",90.92,"Procedural",51.08,"True",72.31,"False",95.08,"False",91.85,"Warhol",9.69,"False",97.38,"0.323382698399770185382351",517,89
90,"True",16.31,"False",81.23,"False",91.23,"Mountains",81.54,"False",90.92,"Procedural",51.08,"True",72.31,"False",95.08,"False",91.85,"Neon",7.38,"False",97.38,"0.207721733934355029527197",452,90
91,"False",83.69,"False",81.23,"False",91.23,"Mountains",81.54,"False",90.92,"Highlighter",1.23,"False",27.69,"False",95.08,"False",91.85,"Acrylic",24.31,"False",97.38,"0.032374939093776276821668",257,91
92,"True",16.31,"True",18.77,"False",91.23,"Mountains",81.54,"False",90.92,"Pop",1.69,"True",72.31,"True",4.92,"False",91.85,"Acrylic",24.31,"False",97.38,"0.000270688684380174324901",10,92
93,"False",83.69,"False",81.23,"False",91.23,"Mountains",81.54,"False",90.92,"Procedural",51.08,"False",27.69,"False",95.08,"True",8.15,"Invert",2.15,"False",97.38,"0.010550831478324383672085",134,93
94,"False",83.69,"False",81.23,"False",91.23,"Mountains",81.54,"False",90.92,"Ballpoint",5.69,"False",27.69,"False",95.08,"False",91.85,"Pencil",24.62,"False",97.38,"0.151676816485608129125850",427,94
95,"False",83.69,"False",81.23,"False",91.23,"Mountains",81.54,"False",90.92,"Procedural",51.08,"True",72.31,"False",95.08,"False",91.85,"Lino",4,"False",97.38,"0.577703735150635555584131",578,95
96,"False",83.69,"True",18.77,"False",91.23,"Summit",5.08,"False",90.92,"Procedural",51.08,"True",72.31,"False",95.08,"False",91.85,"Minimal",6.92,"False",97.38,"0.014387724166434624067934",170,96
97,"False",83.69,"True",18.77,"True",8.77,"Summit",5.08,"False",90.92,"Procedural",51.08,"True",72.31,"False",95.08,"False",91.85,"Minimal",6.92,"False",97.38,"0.001383101402385527320740",41,97
98,"False",83.69,"False",81.23,"False",91.23,"Mountains",81.54,"False",90.92,"Bauhaus",2,"True",72.31,"False",95.08,"False",91.85,"Acrylic",24.31,"False",97.38,"0.137470417007752088167649",405,98
99,"False",83.69,"False",81.23,"False",91.23,"Mountains",81.54,"False",90.92,"Acid",6.15,"True",72.31,"False",95.08,"False",91.85,"Pencil",24.62,"False",97.38,"0.428112057803265444455576",559,99
100,"True",16.31,"False",81.23,"False",91.23,"Mountains",81.54,"False",90.92,"Ballpoint",5.69,"True",72.31,"False",95.08,"False",91.85,"Pencil",24.62,"False",97.38,"0.077192481741402363404347",353,100
101,"False",83.69,"False",81.23,"False",91.23,"Mountains",81.54,"False",90.92,"Procedural",51.08,"True",72.31,"False",95.08,"False",91.85,"Warhol",9.69,"False",97.38,"1.399487298402414925391213",636,101
102,"False",83.69,"False",81.23,"False",91.23,"Mountains",81.54,"False",90.92,"Ballpoint",5.69,"True",72.31,"False",95.08,"False",91.85,"Pencil",24.62,"False",97.38,"0.396090668113915578274487",544,102
103,"True",16.31,"False",81.23,"False",91.23,"Mountains",81.54,"False",90.92,"Acid",6.15,"True",72.31,"False",95.08,"False",91.85,"Pencil",24.62,"False",97.38,"0.083432998718738909937898",367,103
104,"False",83.69,"True",18.77,"False",91.23,"Mountains",81.54,"False",90.92,"Siren",2.31,"True",72.31,"False",95.08,"False",91.85,"Acrylic",24.31,"False",97.38,"0.036689268557885137966856",272,104
105,"True",16.31,"True",18.77,"False",91.23,"Mountains",81.54,"False",90.92,"Chalk",2,"True",72.31,"False",95.08,"False",91.85,"Acrylic",24.31,"False",97.38,"0.006190667270617926896958",103,105
106,"False",83.69,"False",81.23,"False",91.23,"Mountains",81.54,"False",90.92,"Procedural",51.08,"False",27.69,"False",95.08,"False",91.85,"Metallic",4.31,"False",97.38,"0.238367503794232965530497",470,106
107,"True",16.31,"False",81.23,"False",91.23,"Mountains",81.54,"False",90.92,"Siren",2.31,"False",27.69,"False",95.08,"False",91.85,"Acrylic",24.31,"False",97.38,"0.011849396221159042355553",147,107
108,"False",83.69,"False",81.23,"False",91.23,"Mountains",81.54,"False",90.92,"Ballpoint",5.69,"True",72.31,"False",95.08,"True",8.15,"Pencil",24.62,"False",97.38,"0.035145769680222233022349",265,108
109,"False",83.69,"False",81.23,"False",91.23,"Mountains",81.54,"False",90.92,"Ballpoint",5.69,"False",27.69,"False",95.08,"False",91.85,"Pencil",24.62,"False",97.38,"0.151676816485608129125850",431,109
110,"False",83.69,"False",81.23,"False",91.23,"Mountains",81.54,"False",90.92,"Acid",6.15,"True",72.31,"False",95.08,"False",91.85,"Pencil",24.62,"False",97.38,"0.428112057803265444455576",558,110
